facilityInternal,agencyInternal,stateInternal,company,createdAt,googlePlaceName,address,longitude,latitude,county,googlePlaceId,state
"Charleston Correctional Center","West Virginia - Ohio County Correctional Complex","OH","ICS","2021-01-07T21:05:56.861Z","Southern Ohio Correctional Facility","1724 OH-728, Lucasville, OH 45699, United States","-82.97022659999999","38.8745707","Scioto County","ChIJ9xtqE7_2RogRqtPeRGa6bp0","OH"
"Mt Olive Correctional Complex","West Virginia - Ohio County Correctional Complex","OH","ICS","2021-01-07T21:06:00.165Z","Southern Ohio Correctional Facility","1724 OH-728, Lucasville, OH 45699, United States","-82.97022659999999","38.8745707","Scioto County","ChIJ9xtqE7_2RogRqtPeRGa6bp0","OH"
"Parkersburg Correctional Center","West Virginia - Ohio County Correctional Complex","OH","ICS","2021-01-07T21:06:03.883Z","Parkersburg Correctional Center and Jail","225 Holiday Hills Dr, Parkersburg, WV 26104, United States","-81.50191","39.2645531","Wood County","ChIJFQ5fRRS1SYgRybHHuQLGsxM","OH"
"Beckley Correctional Center","West Virginia - Ohio County Correctional Complex","OH","ICS","2021-01-07T21:06:08.286Z","Beckley Correctional Center","111 S Eisenhower Dr, Beckley, WV 25801, United States","-81.1609289","37.7813331","Raleigh County","ChIJ80zWo9PyTogR53O4JpyHJSM","OH"
"Huntington Work Release Center","West Virginia - Ohio County Correctional Complex","OH","ICS","2021-01-07T21:06:11.955Z","Huntington Work Release Center","1236 5th Ave, Huntington, WV 25701, United States","-82.437257","38.4208939","Cabell County","ChIJKyfB380JRogRbBnYR2lNWf4","OH"
"Lakin Correctional Center","West Virginia - Ohio County Correctional Complex","OH","ICS","2021-01-07T21:06:15.354Z","Lakin Correctional Center","11264 Ohio River Rd, West Columbia, WV 25287, United States","-82.0845528","38.9515808","Mason County","ChIJtSMgxTSESIgR3VIrkaAUnss","OH"
"Saint Marys Correctional Center","West Virginia - Ohio County Correctional Complex","OH","ICS","2021-01-07T21:06:19.971Z","Saint Marys Correctional Center","2880 N Pleasants Hwy, St Marys, WV 26170, United States","-81.1696075","39.4311202","Pleasants County","ChIJUY0rFXrCSYgRtA3sr9VnzqE","OH"
"Northern Correctional Facility","West Virginia - Ohio County Correctional Complex","OH","ICS","2021-01-07T21:06:24.173Z","Northeast Ohio Correctional Center","2240 Hubbard Rd, Youngstown, OH 44505, United States","-80.6318757","41.1311866","Mahoning County","ChIJa8oWHFrvM4gRpBom0f9E1p4","OH"
"Ohio County Correctional Complex","West Virginia - Ohio County Correctional Complex","OH","ICS","2021-01-07T21:06:27.849Z","Ohio County Correctional Complex","1501 Eoff St, Wheeling, WV 26003, United States","-80.7198707","40.0649926","Ohio County","ChIJwaoFlCnaNYgRl9sf-2GaO0U","OH"
"Salem Correctional Center","West Virginia - Ohio County Correctional Complex","OH","ICS","2021-01-07T21:06:31.170Z","Eastern Ohio Correction Center","227 N Market St, Lisbon, OH 44432, United States","-80.7683984","40.7742699","Columbiana County","ChIJWT0ApeECNIgR87gVyCtxcpo","OH"
"Pruntytown Correctional Center","West Virginia - Ohio County Correctional Complex","OH","ICS","2021-01-07T21:06:35.357Z","Lakin Correctional Center","11264 Ohio River Rd, West Columbia, WV 25287, United States","-82.0845528","38.9515808","Mason County","ChIJtSMgxTSESIgR3VIrkaAUnss","OH"
"Martinsburg Correctional Center","West Virginia - Ohio County Correctional Complex","OH","ICS","2021-01-07T21:06:38.451Z","Marion Correctional Institution","940 Marion-Williamsport Rd E, Marion, OH 43302, United States","-83.1070886","40.6156179","Marion County","ChIJO5nJ41wQOYgR3kXWHUiYFA8","OH"
"Huttonsville Correctional Center","West Virginia - Ohio County Correctional Complex","OH","ICS","2021-01-07T21:06:41.865Z","Huttonsville Correctional Center","US-250, Huttonsville, WV 26273, United States","-79.9797358","38.6945161","Randolph County","ChIJSe7gZ28PS4gRvvFYTN_xECU","OH"
"Denmar Correctional Center","West Virginia - Ohio County Correctional Complex","OH","ICS","2021-01-07T21:06:45.186Z","Ohio Department of Rehabilitation and Correction Correctional Reception Center","11271 State Rte 762, Orient, OH 43146, United States","-83.1484503","39.8015468","Pickaway County","ChIJH5dlzJ2dOIgRfFwii0aGGfY","OH"
"Anthony Correctional Center","West Virginia - Ohio County Correctional Complex","OH","ICS","2021-01-07T21:06:48.936Z","Chillicothe Correctional Institution","15802 OH-104, Chillicothe, OH 45601, United States","-83.0045669","39.3706632","Ross County","ChIJFbrkewUMR4gRFlVUKPes0Jg","OH"
"Douglas County Jail","Oregon - Douglas County Sheriffs Office","OR","ICS","2021-01-07T21:07:06.579Z","Douglas County Sheriff Records","1036 SE Douglas Ave # 210 #124, Roseburg, OR 97470, United States","-123.3413131","43.21137909999999","Douglas County","ChIJE7VP5CUjxFQRktoBi8Fa8gk","OR"
"Marion County Jail","Oregon - Marion County Sheriffs Office","OR","ICS","2021-01-07T21:07:15.357Z","Marion County Jail","4000 Aumsville Hwy SE, Salem, OR 97317, United States","-122.9598483","44.89663669999999","Marion County","ChIJadWFh_f4v1QRo4vFlLUbrdw","OR"
"Marion County Transition Center","Oregon - Marion County Sheriffs Office","OR","ICS","2021-01-07T21:07:18.303Z","Marion County Work Release Center","3950 Aumsville Hwy SE, Salem, OR 97317, United States","-122.9617332","44.8957092","Marion County","ChIJS9Rwfff4v1QRhazQyK9G_FY","OR"
"Two Rivers Correctional Institution (TRCI)","Oregon - Oregon Department of Corrections","OR","ICS","2021-01-07T21:07:28.385Z","Two Rivers Correctional Institution","82911 Beach Access Rd, Umatilla, OR 97882, United States","-119.2657947","45.9255431","Umatilla County","ChIJx0M3WwC9olQRIXHJcbh159k","OR"
"Snake River Correctional Institution (SRCI)","Oregon - Oregon Department of Corrections","OR","ICS","2021-01-07T21:07:31.412Z","Snake River Correctional Institution (SRCI)","777 Stanton Blvd, Ontario, OR 97914, United States","-117.0675894","44.0787967","Malheur County","ChIJ-QslhG2Jr1QRwaSyNTYwCaE","OR"
"Dome Testing","Oregon - Oregon Department of Corrections","OR","ICS","2021-01-07T21:07:35.558Z","Oregon Convention Center","777 NE Martin Luther King Jr Blvd, Portland, OR 97232, United States","-122.6624069","45.5293769","Multnomah County","ChIJ9Rr_xa2glVQR37n1q3vzDGE","OR"
"Coffee Creek Correctional Facility (CCCF)","Oregon - Oregon Department of Corrections","OR","ICS","2021-01-07T21:07:39.660Z","Coffee Creek Correctional Facility","24499 SW Grahams Ferry Rd, Wilsonville, OR 97070, United States","-122.7899211","45.3416424","Washington County","ChIJuTXS0MttlVQRUKxiIXkwKq4","OR"
"Columbia River Correctional Institution (CRCI)","Oregon - Oregon Department of Corrections","OR","ICS","2021-01-07T21:07:43.481Z","Columbia River Correctional Institution","9111 NE Sunderland Ave, Portland, OR 97211, United States","-122.6369142","45.5893912","Multnomah County","ChIJ9RyUL2SmlVQRulNxvttQubQ","OR"
"South Fork Forest Camp (SFFC)","Oregon - Oregon Department of Corrections","OR","ICS","2021-01-07T21:07:47.355Z","South Fork Forest Camp","48300 Wilson River Hwy, Tillamook, OR 97141, United States","-123.4640504","45.5893658","Tillamook County","ChIJb39Cp7nelFQRAn2uduL5brc","OR"
"Eastern Oregon Correctional Institution (EOCI)","Oregon - Oregon Department of Corrections","OR","ICS","2021-01-07T21:07:51.368Z","Eastern Oregon Correctional Institution","2500 Westgate, Pendleton, OR 97801, United States","-118.8170965","45.6713689","Umatilla County","ChIJyTwMGErholQRMtUm9VCprUU","OR"
"Oregon State Correctional Institution (OSCI)","Oregon - Oregon Department of Corrections","OR","ICS","2021-01-07T21:07:55.075Z","Oregon State Correctional Institution","3405 Deer Park Dr SE, Salem, OR 97310, United States","-122.9487207","44.8973399","Marion County","ChIJC9es7v_4v1QRMVLVBSZMLrw","OR"
"Santiam Correctional Institution (SCI)","Oregon - Oregon Department of Corrections","OR","ICS","2021-01-07T21:07:59.239Z","Santiam Correctional Institution","4005 Aumsville Hwy SE, Salem, OR 97317, United States","-122.9616428","44.8916846","Marion County","ChIJEYuGVlj4v1QRUOgylp6Nri4","OR"
"Powder River Correctional Facility (PRCF)","Oregon - Oregon Department of Corrections","OR","ICS","2021-01-07T21:08:02.770Z","Powder River Correctional Facility","3600 13th St, Baker City, OR 97814, United States","-117.8437656","44.7916382","Baker County","ChIJ9eG641HppFQRkmCNbYJFk00","OR"
"Warner Creek Correctional Facility (WCCF)","Oregon - Oregon Department of Corrections","OR","ICS","2021-01-07T21:08:06.939Z","Warner Creek Correctional Facility","20654 Rabbit Hill Rd, Lakeview, OR 97630, United States","-120.3783569","42.2450981","Lake County","ChIJG_sXKEmUyVQRWd9GoNk8-0A","OR"
"Deer Ridge Correctional Institution (DRCI)","Oregon - Oregon Department of Corrections","OR","ICS","2021-01-07T21:08:10.541Z","Deer Ridge Correctional Institute","3920 E Ashwood Rd, Madras, OR 97741, United States","-121.052728","44.6368596","Jefferson County","ChIJqVEisZHqvlQR9vtaa0W5o6w","OR"
"Mill Creek Correctional Facility (MCCF)","Oregon - Oregon Department of Corrections","OR","ICS","2021-01-07T21:08:14.902Z","Mill Creek Correctional Facility","5465 Turner Rd SE, Salem, OR 97310, United States","-122.9740044","44.8754685","Marion County","ChIJP5Lsw2_4v1QRrbxgpP9KclQ","OR"
"Oregon State Penitentiary (OSP)","Oregon - Oregon Department of Corrections","OR","ICS","2021-01-07T21:08:19.187Z","Oregon State Penitentiary","2605 State St, Salem, OR 97310, United States","-123.0073097","44.9320905","Marion County","ChIJJfRN2ST_v1QRuJuvRcV1KBE","OR"
"Shutter Creek Correctional Institution (SCCI)","Oregon - Oregon Department of Corrections","OR","ICS","2021-01-07T21:08:24.895Z","Shutter Creek Correctional Institution","95200 Shutters Landing Ln, North Bend, OR 97459, United States","-124.1759006","43.5338409","Coos County","ChIJPcl5ToKTw1QRlri2lLR3i3o","OR"
"Thompson Correctional Center - TCC","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:08:36.181Z","Thompson Correctional Center","434 State Farm Rd, Deerfield, WI 53531, United States","-89.04493509999999","43.0244708","Dane County","ChIJW-j9LSVmBogRegV5-b3O9mw","OR"
"Milwaukee Womens Correctional Center - MWCC","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:08:39.285Z","Milwaukee Women's Correctional Center","615 W Keefe Ave, Milwaukee, WI 53212, United States","-87.9188944","43.0814735","Milwaukee County","ChIJn7WoibMeBYgRIpNcP8G7d1o","OR"
"John C. Burke Correctional Center - JCBCC","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:08:43.377Z","John C Burke Correctional Center","900 S Madison St, Waupun, WI 53963, United States","-88.7361986","43.6207471","Dodge County","ChIJt14kgs8cBIgRzLYQL_9DvPY","OR"
"McNaughton Correctional Center - MCC","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:08:46.975Z","Mc Naughton Correctional Center","8500 Rainbow Rd, Lake Tomahawk, WI 54539, United States","-89.6309924","45.8005658","Oneida County","ChIJZ3lR8Gi8VU0RTu9uoNeVLuo","OR"
"Robert E Ellsworth Correctional Center - REECC","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:08:51.334Z","Robert Ellsworth Correctional","21425 Spring St # A, Union Grove, WI 53182, United States","-88.0806384","42.6966715","Racine County","ChIJPV6tgKVwBYgRCqa4JEYVlPw","OR"
"Marshall Sherrer Correctional Center - MSCC","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:08:55.674Z","Marshall E Sherrer Correction","1318 N 14th St, Milwaukee, WI 53205, United States","-87.92964339999999","43.0475614","Milwaukee County","ChIJ6zxG7HwZBYgRlSTlsCsl6mY","OR"
"Jackson Correctional Institution - JCI","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:08:59.367Z","Jackson Correctional Institution","N6500 Haipek Rd, Black River Falls, WI 54615, United States","-90.79061949999999","44.3053654","Jackson County","ChIJtU9inWTk_ocRQ3GM_VY1X0s","OR"
"Kettle Moraine Correctional Institution - KMCI","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:09:03.470Z","Kettle Moraine Correctional Institution","W9071 Forest Dr, Plymouth, WI 53073, United States","-88.1491317","43.72350309999999","Sheboygan County","ChIJPY5nlAydBIgRoDfQaQ0Sb-o","OR"
"Dodge Correctional Institution - DCI","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:09:08.511Z","Dodge Correctional Institute","1 W Lincoln St, Waupun, WI 53963, United States","-88.73969029999999","43.6242095","Dodge County","ChIJ6W2E9MscBIgRbRfsU4S92X0","OR"
"Fox Lake Correctional Institution - FLCI","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:09:13.281Z","Fox Lake Correctional Institution","W10237 Lake Emily Rd, Fox Lake, WI 53933, United States","-88.9130011","43.6149518","Dodge County","ChIJhYN04ZClBogR1Az6TCVpoFY","OR"
"Oregon Correctional Center - OCC","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:09:17.909Z","Oregon Department of Corrections","2575 Center St NE, Salem, OR 97301, United States","-123.0044901","44.9406307","Marion County","ChIJWf1PDiD_v1QRz0Ap2GmSJ9g","OR"
"Drug Abuse Correctional Center - DACC","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:09:21.894Z","Drug Abuse Correctional Center","54985, 4280 Sherman Rd, Oshkosh, WI 54901, United States","-88.51502769999999","44.07936489999999","Winnebago County","ChIJYw6Dd4fqA4gRbUiL-mi1fpc","OR"
"Kenosha Correctional Center - KCC","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:09:26.093Z","Kenosha Correctional Center","6353 14th Ave, Kenosha, WI 53143, United States","-87.8265155","42.5761335","Kenosha County","ChIJEWcyT05eBYgRYfeJVAwy_Jg","OR"
"Milwaukee Secured Detention Facility - MSDF","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:09:30.072Z","Milwaukee Secure Detention Facility","1015 N 10th St, Milwaukee, WI 53233, United States","-87.92464179999999","43.0433928","Milwaukee County","ChIJUWtc6HkZBYgRJvXB0SJwfjs","OR"
"Flambeau Correctional Center - FCC","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:09:34.493Z","Flambeau Correctional Center","N671 Co Rd M, Winter, WI 54896, United States","-90.740935","45.656576","Sawyer County","ChIJx3n4LFu5q1IRiIxuGsjCLOM","OR"
"Felmers O. Chaney Correctional Center - FOCCC","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:09:39.369Z","Felmers O. Chaney Correctional Center","2825 N 30th St, Milwaukee, WI 53210, United States","-87.95187659999999","43.070132","Milwaukee County","ChIJsQQYlvIbBYgR6qYb8d_2kok","OR"
"Racine Youthful Offenders Correctional Facility -RYOCF","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:09:43.273Z","Racine Youthful Offender Correctional Facility","1501 Albert St, Racine, WI 53404, United States","-87.7993116","42.7369827","Racine County","ChIJOwT96bxDBYgRsrVnqy0inA4","OR"
"GROW Academy - GROW","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:09:48.070Z","Cadence Academy Preschool","2609 Eberlein Ave, Klamath Falls, OR 97603, United States","-121.7566052","42.2181125","Klamath County","ChIJlfEyxgbVyFQRoG8l4MLjG4s","OR"
"Gordon Correctional Center - GCC","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:09:57.675Z","Gordon Correctional Center","10401 Co Rd G, Gordon, WI 54838, United States","-91.7540128","46.2324103","Douglas County","ChIJhzoPK9GCrlIRJBYWOCFAieI","OR"
"Winnebago Correctional Center - WCC","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:10:01.674Z","Winnebago Correctional Center","4300 Sherman Rd, Winnebago, WI 54985, United States","-88.513379","44.0649541","Winnebago County","ChIJM6ztffTqA4gRdhlEzVUZE4I","OR"
"Sturtevant Transitional Facility - STF","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:10:05.460Z","Sturtevant Transitional Facility","9351 Rayne Rd, Sturtevant, WI 53177, United States","-87.8987349","42.71312590000001","Racine County","ChIJwZkcr_ZoBYgRod1oZoZeUmE","OR"
"Oakhill Correctional Institution - OCI","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:10:10.099Z","Oakhill Correctional Institute","5212 County Hwy M, Oregon, WI 53575, United States","-89.3946216","42.961263","Dane County","ChIJ3fSsg02zB4gRy61_cQaBWRs","OR"
"Wisconsin Secure Program Facility - WSPF","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:10:14.165Z","Wisconsin Secure Program Facility","1101 Morrison Dr, Boscobel, WI 53805, United States","-90.68297299999999","43.1432007","Grant County","ChIJh_uAANH4_IcRclJ-9a03La8","OR"
"Green Bay Correctional Institution - GBCI","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:10:18.083Z","Green Bay Correctional Institution","2833 Riverside Dr, Allouez, WI 54301, United States","-88.03717549999999","44.4705164","Brown County","ChIJOWkXCm77AogRw4wMEJBJquk","OR"
"Taycheedah Correctional Institution - TCI","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:10:22.301Z","Taycheedah Correctional Institution","751 Co Rd K, Fond du Lac, WI 54937, United States","-88.3883666","43.7982215","Fond du Lac County","ChIJw3ZVJeuJA4gRwNRhkQrpWno","OR"
"Oshkosh Correctional Institution - OSCI","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:10:27.447Z","Oregon State Correctional Institution","3405 Deer Park Dr SE, Salem, OR 97310, United States","-122.9487207","44.8973399","Marion County","ChIJC9es7v_4v1QRMVLVBSZMLrw","OR"
"Columbia Correctional Institution - CCI","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:10:32.093Z","Columbia River Correctional Institution","9111 NE Sunderland Ave, Portland, OR 97211, United States","-122.6369142","45.5893912","Multnomah County","ChIJ9RyUL2SmlVQRulNxvttQubQ","OR"
"New Lisbon Correctional Institution - NLCI","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:10:36.069Z","New Lisbon Correctional Institution","2000 Progress Rd, New Lisbon, WI 53950, United States","-90.13177499999999","43.8811854","Juneau County","ChIJz3Sj8-kF_ocRYTqqUYL8URI","OR"
"Lincoln Hills School/Copper Lake School - LHS/CLS","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:10:39.737Z","Lincoln Hills School","W4380 Copper Lake Ave, Irma, WI 54442, United States","-89.63968779999999","45.3264716","Lincoln County","ChIJk9TtV7kVVU0RfAJrgI4Msec","OR"
"Chippewa Valley Correctional Treatment Facility - CVCTF","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:10:43.144Z","Chippewa Valley Correctional","2909 E Park Ave, Chippewa Falls, WI 54729, United States","-91.3499772","44.928746","Chippewa County","ChIJp2hSFrqo-IcR97gpWoMgpXU","OR"
"Saint Croix Correctional Center - SCCC","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:10:47.390Z","Bureau of Corrections","#1, Roebuck Park, Kingshill, 00851, U.S. Virgin Islands","-64.80170319999999","17.7041465","Southcentral","ChIJs8i9P8jJGowR_uzttMBMj8I","OR"
"Racine Correctional Institution - RCI","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:10:52.379Z","Racine Correctional Institution","2019 Wisconsin St, Sturtevant, WI 53177, United States","-87.9022158","42.71073759999999","Racine County","ChIJmV1_sJJoBYgRFrD8QVRFwQ0","OR"
"Black River Falls Correctional Center - BRCC","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:10:56.669Z","Black River Falls Correction center","Black River Falls, WI 54615, United States","-90.8515987","44.29591749999999","Jackson County","ChIJvYy4Tezm_ocRi0Bf-dA4114","OR"
"Stanley Correctional Institution - SCI","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:11:00.972Z","Santiam Correctional Institution","4005 Aumsville Hwy SE, Salem, OR 97317, United States","-122.9616428","44.8916846","Marion County","ChIJEYuGVlj4v1QRUOgylp6Nri4","OR"
"Redgranite Correctional Institution - RGCI","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:11:05.462Z","Redgranite Correctional Institute","1006 County Rd EE, Redgranite, WI 54970, United States","-89.10763879999999","44.0538254","Waushara County","ChIJDxLKlF8VAYgRJK2r_0rJSfU","OR"
"Prairie du Chein Correctional Institution - PDCI","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:11:10.569Z","Prairie Du Chien Correctional","500 E Parrish St, Prairie du Chien, WI 53821, United States","-91.1410106","43.0342492","Crawford County","ChIJa-3oMGeD_IcRpo5O3f2Rx3k","OR"
"Waupun Correctional Institution - WCI","Wisconsin - Oregon Correctional Center - OCC","OR","ICS","2021-01-07T21:11:15.052Z","Waupun Correctional Institute","200 S Madison St, Waupun, WI 53963, United States","-88.73158889999999","43.6296869","Dodge County","ChIJc57AxsocBIgRz1QD6yeNzrc","OR"
"Armstrong County Jail","Pennsylvania - Armstrong County Jail","PA","ICS","2021-01-07T21:11:28.553Z","Armstrong County Jail","171 Staleys Courts Rd, Kittanning, PA 16201, United States","-79.4804381","40.8190245","Armstrong County","ChIJmzOpim1WM4gRIBPuQ5nBRc8","PA"
"Columbia County Jail","Pennsylvania - Columbia County PA","PA","ICS","2021-01-07T21:11:36.859Z","Columbia County Prison","721 Iron St, Bloomsburg, PA 17815, United States","-76.4502778","40.998487","Columbia County","ChIJ8VwbVH-HxYkRyJ9wYzcNbPs","PA"
"Elk County Prison","Pennsylvania - Elk County Prison","PA","ICS","2021-01-07T21:11:45.374Z","Elk County Jail","225 Main St, Ridgway, PA 15853, United States","-78.7295972","41.4214105","Elk County","ChIJKRu7-moBzYkRnr5yq3xnw1w","PA"
"Jefferson County Jail","Pennsylvania - Jefferson County Pennsylvania","PA","ICS","2021-01-07T21:11:53.873Z","Jefferson County Jail","578 Service Center Rd, Brookville, PA 15825, United States","-79.0539266","41.1684711","Jefferson County","ChIJ14VK5S_CzIkRFB3ntvOipQE","PA"
"McKean County Jail","Pennsylvania - McKean County Jail","PA","ICS","2021-01-07T21:12:04.061Z","McKean County Sheriff's Office","17013 RT. 6, Smethport, PA 16749, United States","-78.4639586","41.7963961","McKean County","ChIJVWRuffOazYkRJANTNlqhkJw","PA"
"Northumberland County Jail","Pennsylvania - Northumberland County Jail Administration Building","PA","ICS","2021-01-07T21:12:14.250Z","Northumberland County Jail","720 Northumberland County Drive, Coal Township, PA 17866, United States","-76.4903727","40.7786505","Northumberland County","ChIJlzEYkFpfz4kRI-CYf71d3tI","PA"
"Warren County Jail","Pennsylvania - Warren County Prison","PA","ICS","2021-01-07T21:12:24.963Z","Warren County Jail","407 Market St, Warren, PA 16365, United States","-79.1469127","41.8488653","Warren County","ChIJnxIx4vpEzYkR2yROkXGTjE8","PA"
"Washington County Correctional Institution","Pennsylvania - Washington County Pennsylvania","PA","ICS","2021-01-07T21:12:33.768Z","Washington County Jail","100 W Cherry Ave, Washington, PA 15301, United States","-80.2467673","40.1695235","Washington County","ChIJTSH4crCtNYgRHSGTu6q2BhM","PA"
"Abbeville County Detention Center","South Carolina - Abbeville County Sheriffs Office","SC","ICS","2021-01-07T21:12:49.062Z","Abbeville County Detention Center","21 Old Calhoun Falls Rd, Abbeville, SC 29620, United States","-82.4101075","34.1659281","Abbeville County","ChIJi_XkP5Pk94gRbnWgQ-pkDOs","SC"
"Abbeville County Work Dorm","South Carolina - Abbeville County Sheriffs Office","SC","ICS","2021-01-07T21:12:52.685Z","Abbeville Housing Authority","508 Haigler St, Abbeville, SC 29620, United States","-82.4022339","34.1751624","Abbeville County","ChIJezrUH6Xk94gR-NrIma6G2lk","SC"
"Abbeville County Detention Center","South Carolina - Abbeville County Work Dorm","SC","ICS","2021-01-07T21:13:03.274Z","Abbeville County Detention Center","21 Old Calhoun Falls Rd, Abbeville, SC 29620, United States","-82.4101075","34.1659281","Abbeville County","ChIJi_XkP5Pk94gRbnWgQ-pkDOs","SC"
"Abbeville County Work Dorm","South Carolina - Abbeville County Work Dorm","SC","ICS","2021-01-07T21:13:06.274Z","Abbeville Housing Authority","508 Haigler St, Abbeville, SC 29620, United States","-82.4022339","34.1751624","Abbeville County","ChIJezrUH6Xk94gR-NrIma6G2lk","SC"
"Beaufort County Detention Center","South Carolina - Beaufort County Detention Center","SC","ICS","2021-01-07T21:13:16.653Z","Beaufort County Detention Center","106 Ribaut Rd, Beaufort, SC 29902, United States","-80.68686939999999","32.4372226","Beaufort County","ChIJWTD7SUgM_IgR-2s7w8RTqws","SC"
"Chester County Jail","South Carolina - Chester County Sheriffs Office","SC","ICS","2021-01-07T21:13:27.190Z","Chester County Prison Extension","2740 Dawson Dr, Chester, SC 29706, United States","-81.2308769","34.7081615","Chester County","ChIJQR7v6UZDVogRq5GDSX7Qmvo","SC"
"Correct Care SVTP Facility","South Carolina - Correct Care of South Carolina","SC","ICS","2021-01-07T21:13:38.072Z","Columbia Regional Care Center","7901 Farrow Rd, Columbia, SC 29203, United States","-80.9770025","34.080828","Richland County","ChIJr3kWz1Gv-IgRdBIX7V2QwsU","SC"
"Upstate","South Carolina - Correct Care of South Carolina","SC","ICS","2021-01-07T21:13:41.313Z","Upstate South Carolina","Upstate South Carolina, SC, USA","-82.2975348","34.8332582","Greenville County","ChIJkd-9ERmKV4gRGARFReEB7p8","SC"
"Minnehaha County Corrections Center","South Dakota - Minnehaha County","SD","ICS","2021-01-07T21:13:54.877Z","Minnehaha County Jail Administration","305 W 4th St, Sioux Falls, SD 57104, United States","-96.7299343","43.5534459","Minnehaha County","ChIJeUUrF5-1jocRiyq8ub4seN4","SD"
"Minnehaha County Jail","South Dakota - Minnehaha County","SD","ICS","2021-01-07T21:13:57.670Z","Minnehaha county jail","299-201 N Prairie Ave, Sioux Falls, SD 57104, United States","-96.73710609999999","43.549247","Minnehaha County","ChIJe6Uw5cG1jocRrtubURtQIlg","SD"
"Leavenworth Detention Center","Arizona - La Palma Correctional Center","TN","ICS","2021-01-07T21:14:11.066Z","Corrections Corporation of America","100 Hwy Terrace, Leavenworth, KS 66048, United States","-94.8920222","39.2724963","Leavenworth County","ChIJbSkMMjNjwIcRb-nLNXdUCMo","TN"
"Silverdale Detention Facilities","Arizona - La Palma Correctional Center","TN","ICS","2021-01-07T21:14:16.676Z","Silverdale Detentions Facilities","7609 Standifer Gap Rd, Chattanooga, TN 37421, United States","-85.1334153","35.0509755","Hamilton County","ChIJu2CQUw1jYIgRpNzl5CQzuV8","TN"
"Hardeman County Correctional Center","Arizona - La Palma Correctional Center","TN","ICS","2021-01-07T21:14:25.863Z","Hardeman County Correctional","2520 Union Springs Rd, Whiteville, TN 38075, United States","-89.1600838","35.2872178","Hardeman County","ChIJmXcodRH0fogRyVV7eNdA6_g","TN"
"La Palma Correctional Center","Arizona - La Palma Correctional Center","TN","ICS","2021-01-07T21:14:29.343Z","Lois M De Berry Special Needs","7575 Cockrill Bend Blvd, Nashville, TN 37209, United States","-86.90003589999999","36.1909297","Davidson County","ChIJx5biZytgZIgRoew0otBM6l0","TN"
"West Tennessee Detention Facility","Arizona - La Palma Correctional Center","TN","ICS","2021-01-07T21:14:33.031Z","West Tennessee Detention Facility","6299 Finde Naifeh Dr, Mason, TN 38049, United States","-89.5483177","35.4064431","Tipton County","ChIJTeudS6caf4gRFv4Dc3L3eH4","TN"
