uid,facilityInternal,agencyInternal,agencyFullNameInternal,stateInternal,company,canonicalFacilityId,created,hidden_override,notes,googlePlaceName,address,longitude,latitude,county,googlePlaceId,state,g_name_sim,internal_name_sim,max_name_similarity,hidden,HIFLDID,name_override,jurisdiction_override,address_override,longitude_override,latitude_overrride,state_override,county_override,countyFIPS_override,HIFLDID_override,UCLACovid19ID_override,facilityInternal_x,SHAPE_Length,facilityInternal_y,googlePlaceName_x,googlePlaceName_y
49930e01fde494,BEAVERHEAD COUNTY JAIL,,,MT,SECURUS,9273.0,2021-01-09T00:18:09.475Z,,,BEAVERHEAD COUNTY SHERIFF,"2 S Pacific St # 13, Dillon, MT 59725, United States",-112.634117,45.2156829,Beaverhead County,ChIJN1wOmh8GWlMRfYrQfA3lDHQ,MT,81.0,87.0,87.0,False,10005678,,,,,,,,,,,,,,,
0f0bf7b9441d49,MONTGOMERY COUNTY COURTHOUSE,,,TN,SECURUS,9278.0,2021-01-09T01:32:49.053Z,,,MONTGOMERY COUNTY COURT,"2 Millenium Plz, Clarksville, TN 37040, United States",-87.3581868,36.5273437,Montgomery County,ChIJNdGJdrfZZIgROG19m_Z0OEY,TN,87.0,87.0,87.0,False,10002618,,,,,,,,,,,,,,,
2ef3c2c5bfc85f,JAIL WORKHOUSE,Montgomery County TN,,TN,GTL,,2021-04-04T14:06:47.065Z,,,MONTGOMERY COUNTY WORKHOUSE,"1221 Hwy Dr, Clarksville, TN 37040, United States",-87.3360433,36.5169658,Montgomery County,ChIJ51r6UwvZZIgRH78Wpj4imlk,TN,87.0,44.0,87.0,False,10002618,,,,,,,,,,,,,,,
63143bd64f0adf, MSCC,WIDOC,Wisconsin Department of Corrections - WIDOC,WI,ICS,9256.0,2021-03-06T02:50:14.667Z,,,MARSHALL E SHERRER CORRECTION,"1318 N 14th St, Milwaukee, WI 53205, United States",-87.92964339999999,43.0475614,Milwaukee County,ChIJ6zxG7HwZBYgRlSTlsCsl6mY,WI,87.0,10.0,87.0,False,10001009,,,,,,,,,,,,,,,
8372ef9d450782,MCHENRY COUNTY CORRECTIONAL FACILITY,MCHENRYIL,McHenry County Sheriff,IL,ICS,9268.0,2021-03-06T02:48:24.940Z,,,MC HENRY COUNTY JAIL,"2200 N Seminary Ave, Woodstock, IL 60098, United States",-88.4412449,42.341554,McHenry County,ChIJH_hSd6ppD4gRyjXOpRalKmw,IL,87.0,85.0,87.0,False,10002256,,,,,,,,,,,,,,,
9012e9b6867e9e,MONTGOMERY COUNTY WORKHOUSE,,,TN,SECURUS,9276.0,2021-01-09T01:33:09.913Z,,,MONTGOMERY COUNTY WORKHOUSE,"1221 Hwy Dr, Clarksville, TN 37040, United States",-87.3360433,36.5169658,Montgomery County,ChIJ51r6UwvZZIgRH78Wpj4imlk,TN,87.0,87.0,87.0,False,10002618,,,,,,,,,,,,,,,
399e45902ebe74, TALLAHASSEE WRC,,,FL,SECURUS,9253.0,2021-03-01T17:42:12.392Z,,,FLORIDA DEPARTMENT OF CORRECTIONS FACILITIES,"501 S Calhoun St, Tallahassee, FL 32399, United States",-84.2788763,30.4372461,Leon County,ChIJDVuH2Llr24gRfuqCcDLIUXw,FL,27.0,87.0,87.0,False,10000375,,,,,,,,,,,,,,,
9108dffff23017,SPARTANBURG COUNTY DETENTION FACILITY ANNEX,,,SC,SECURUS,9269.0,2021-01-09T01:24:32.539Z,,,SPARTANBURG DETENTION ANNEX,"180 N Daniel Morgan Ave, Spartanburg, SC 29306, United States",-81.93648780000001,34.9507461,Spartanburg County,ChIJBUbEJPR1V4gRMhB58iQQZcU,SC,77.0,87.0,87.0,False,10001130,,,,,,,,,,,,,,,
bdc5ae6edd15da,OHIO COUNTY CORRECTIONAL COMPLEX,WVDOC,West Virginia Division of Corrections,WV,ICS,9259.0,2021-03-06T02:49:35.665Z,,,OHIO COUNTY CORRECTIONAL COMPLEX,"1501 Eoff St, Wheeling, WV 26003, United States",-80.7198707,40.0649926,Ohio County,ChIJwaoFlCnaNYgRl9sf-2GaO0U,WV,87.0,87.0,87.0,False,10001873,,,,,,,,,,,,,,,
7ac12d61282000,CUMBERLAND COUNTY JUSTICE CENTER,,,TN,SECURUS,9260.0,2021-01-09T01:28:17.671Z,,,JUSTICE CENTER DR,"Justice Center Dr, Crossville, TN 38555, USA",-85.0234369,35.9412741,Cumberland County,ChIJo7DXyipRZ4gRT-ORKQ0eeRg,TN,46.0,87.0,87.0,False,10003520,,,,,,,,,,,,,,,
cf3a2af0835e39,SUFFOLK COUNTY HOUSE OF CORRECTIONS,,,MA,SECURUS,9261.0,2021-01-08T21:48:51.638Z,,,SUFFOLK COUNTY HOUSE OF CORRECTION,"20 Bradston St, Boston, MA 02118, United States",-71.067724,42.3344149,Suffolk County,ChIJ31On8UF644kRt9OM0YFuVwI,MA,87.0,74.0,87.0,False,10001397,,,,,,,,,,,,,,,
9065176e8a753a,ATTORNEY,,,SD,SECURUS,9262.0,2021-01-09T01:26:07.923Z,,,PENNINGTON COUNTY SHERIFF OFFICE,"300 Kansas City St #100, Rapid City, SD 57701, United States",-103.2220219,44.0782462,Pennington County,ChIJ81DlXipDfYcRZHpW4uwyrjw,SD,87.0,27.0,87.0,False,10002659,,,,,,,,,,,,,,,
a8bb9de009b374, ELBA COMMUNITY WORK RELEASE/CENTER,,,AL,SECURUS,9263.0,2021-03-01T16:57:27.039Z,,,WORK RELEASE CENTER,"1620 Boswell St, Elba, AL 36323, United States",-86.0834766,31.4125492,Coffee County,ChIJn_osZpIPkogRdycR2WPdfAU,AL,73.0,87.0,87.0,False,10001226,,,,,,,,,,,,,,,
182ea92921ea91,PLANTATION DETENTION CENTER,MONROECOFL,Monroe County Sheriff,FL,ICS,9264.0,2021-03-06T02:49:24.106Z,,,PLANTATION KEY DETENTION CENTER,"53 High Point Rd, Tavernier, FL 33070, United States",-80.55140639999999,24.9797769,Monroe County,ChIJCXLjmqk414gRFVJ4Kt_syl0,FL,87.0,85.0,87.0,False,10006234,,,,,,,,,,,,,,,
c9e552b401951c,MADERA COUNTY DOC,,,CA,SECURUS,9267.0,2021-03-01T17:14:54.852Z,,,MADERA COUNTY DEPARTMENT OF CORRECTIONS,"14191 Rd 28, Madera, CA 93638, United States",-120.0350352,36.9543275,Madera County,ChIJgTbUKfIMlIARs7cBXTx4ETY,CA,60.0,87.0,87.0,False,10000803,,,,,,,,,,,,,,,
10576188d2aef5,GEORGE COUNTY CWC,Mississippi Department of Corrections,,MS,GTL,,2021-04-04T13:53:06.663Z,,,GEORGE COUNTY CWC,"156 Industrial Park Rd, Lucedale, MS 39452, United States",-88.5879174,30.929073,George County,ChIJ7VbjJ1d2m4gRuX0dHErWanE,MS,87.0,87.0,87.0,False,10001822,,,,,,,,,,,,,,,
e0dc460d229c61,REG JAIL JUVENILE,Alcorn County MS-Regional Jail,,MS,GTL,,2021-04-04T13:51:51.856Z,,,ALCORN COUNTY DETENTION CENTER,"2861 S Harper Rd, Corinth, MS 38834, United States",-88.55654009999999,34.9094556,Alcorn County,ChIJZbzwruLAfYgRAKQA7DBjZK0,MS,87.0,64.0,87.0,False,10005531,,,,,,,,,,,,,,,
38516c7fec6408,MERIWETHER COUNTY SHERIFF'S OFFICE,,,GA,SECURUS,9257.0,2021-03-01T18:01:27.351Z,,,MERIWETHER COUNTY SHERIFF,"17400 Roosevelt Hwy, Greenville, GA 30222, United States",-84.7131024,33.0286388,Meriwether County,ChIJi4NYzj2n9IgRzYq3wm7xqjE,GA,87.0,87.0,87.0,False,10004486,,,,,,,,,,,,,,,
fddcec3572ca9e,ST JOHN PARISH CORRECTIONAL CENTER,,,LA,SECURUS,9266.0,2021-01-08T21:12:29.751Z,,,ST JOHN PARISH SHERIFF'S OFFICE,"1801 W Airline Hwy, Laplace, LA 70068, United States",-90.4995759,30.0721689,St. John the Baptist Parish,ChIJ__8_MtrTIIYRKQsB-BM2DAs,LA,48.0,87.0,87.0,False,10000975,,,,,,,,,,,,,,,
5de55ea8ed7098,JEFFERSON COUNTY DETENTION CENTER,,,TN,SECURUS,9271.0,2021-01-09T01:30:56.224Z,,,JEFFERSON COUNTY SHERIFF'S OFFICE,"765 Justice Center Dr, Dandridge, TN 37725, United States",-83.4279171,36.0351367,Jefferson County,ChIJDeJREnjyW4gRFWymVRBKOt8,TN,48.0,87.0,87.0,False,10003498,,,,,,,,,,,,,,,
ded390d681fdcc,COUNTY JAIL (OLD),Rensselaer County NY-County Jail,,NY,GTL,,2021-04-04T13:56:36.424Z,,,RENSSELAER COUNTY SHERIFF,"4000 Main St, Troy, NY 12180, United States",-73.7005691,42.709114,Rensselaer County,ChIJPxXhWN8O3okR0PqcLB7q4-s,NY,87.0,85.0,87.0,False,10003172,,,,,,,,,,,,,,,
911613bfb77bd1, CROSS CITY CI,,,FL,SECURUS,9275.0,2021-03-01T17:31:02.670Z,,,CROSS CITY CORRECTIONS DEPARTMENT,"568 NE 255th St, Cross City, FL 32628, United States",-83.0987298,29.6346041,Dixie County,ChIJh2uZX0A96YgRKYbP136gMS0,FL,67.0,87.0,87.0,False,10006331,,,,,,,,,,,,,,,
708d01182372e8,REG JAIL JUVENILE,Alcorn County MS-Regional Jail Juvenile,,MS,GTL,,2021-04-04T13:52:06.315Z,,,ALCORN COUNTY DETENTION CENTER,"2861 S Harper Rd, Corinth, MS 38834, United States",-88.55654009999999,34.9094556,Alcorn County,ChIJZbzwruLAfYgRAKQA7DBjZK0,MS,87.0,64.0,87.0,False,10005531,,,,,,,,,,,,,,,
8c3fd633c8f06f,REG JAIL JUVENILE (OLD),Alcorn County MS-Regional Jail,,MS,GTL,,2021-04-04T13:51:54.992Z,,,ALCORN COUNTY DETENTION CENTER,"2861 S Harper Rd, Corinth, MS 38834, United States",-88.55654009999999,34.9094556,Alcorn County,ChIJZbzwruLAfYgRAKQA7DBjZK0,MS,87.0,57.0,87.0,False,10005531,,,,,,,,,,,,,,,
778e179e0a00d5,REG JAIL JUVENILE (OLD),Alcorn County MS-Regional Jail Juvenile,,MS,GTL,,2021-04-04T13:52:09.507Z,,,ALCORN COUNTY DETENTION CENTER,"2861 S Harper Rd, Corinth, MS 38834, United States",-88.55654009999999,34.9094556,Alcorn County,ChIJZbzwruLAfYgRAKQA7DBjZK0,MS,87.0,57.0,87.0,False,10005531,,,,,,,,,,,,,,,
f46d485816ce24,PASCAGOULA RC,Mississippi Department of Corrections,,MS,GTL,,2021-04-04T13:53:39.604Z,,,JACKSON COUNTY PORT AUTHORITY,"3033 Pascagoula St, Pascagoula, MS 39567, United States",-88.5568708,30.3643107,Jackson County,ChIJVQ9xVsvom4gRT5pVWlTSO4g,MS,34.0,87.0,87.0,False,10004264,,,,,,,,,,,,,,,
94423a14c49e14,HARRIS COUNTY JUVENILE JUSTICE CENTER,,,TX,SECURUS,9292.0,2021-01-09T01:44:45.842Z,,,HARRIS COUNTY JUVENILE PROBATION DEPARTMENT,"1200 Congress St, Houston, TX 77002, United States",-95.358667,29.7607397,Harris County,ChIJGRyOjiW_QIYRUePTcZN2KIQ,TX,78.0,88.0,88.0,False,10002864,,,,,,,,,,,,,,,
f6498398146194,REGIONAL JAIL (OLD),Alcorn County MS-Regional Jail,,MS,GTL,,2021-04-04T13:52:02.241Z,,,ALCORN COUNTY CORRECTIONAL CENTER,"2839 S Harper Rd, Corinth, MS 38834, United States",-88.5518458,34.9103402,Alcorn County,ChIJuyVHfCXBfYgR7g-NXy375k0,MS,88.0,64.0,88.0,False,10005532,,,,,,,,,,,,,,,
0cc40463edc125,WILLOW RIVER CIP,Minnesota Department of Corrections,,MN,GTL,,2021-04-04T13:53:20.842Z,,,MINNESOTA DEPARTMENT OF CORRECTIONS - WILLOW RIVER,"86032 Co Hwy 61, Willow River, MN 55795, United States",-92.8289166,46.3526634,Pine County,ChIJ4e2p8djtsVIRBZcv-i8yKjQ,MN,86.0,88.0,88.0,False,10006211,,,,,,,,,,,,,,,
3f38958ba37f9b,WASHTENAW COUNTY SHERIFFS DEPT,,,MI,SECURUS,9289.0,2021-01-08T22:26:47.790Z,,,WASHTENAW COUNTY SHERIFF'S OFFICE SERVICE CENTER,"2201 Hogback Rd, Ann Arbor, MI 48105, United States",-83.6783033,42.2554908,Washtenaw County,ChIJU3E4uyuvPIgRMwvsVmYSRKo,MI,88.0,71.0,88.0,False,10003843,,,,,,,,,,,,,,,
095e2e001f34d6,REGIONAL JAIL,Alcorn County MS-Regional Jail Juvenile,,MS,GTL,,2021-04-04T13:52:12.848Z,,,ALCORN COUNTY CORRECTIONAL CENTER,"2839 S Harper Rd, Corinth, MS 38834, United States",-88.5518458,34.9103402,Alcorn County,ChIJuyVHfCXBfYgR7g-NXy375k0,MS,88.0,76.0,88.0,False,10005532,,,,,,,,,,,,,,,
b39925d6ca89c9,REGIONAL JAIL (OLD),Alcorn County MS-Regional Jail Juvenile,,MS,GTL,,2021-04-04T13:52:16.168Z,,,ALCORN COUNTY CORRECTIONAL CENTER,"2839 S Harper Rd, Corinth, MS 38834, United States",-88.5518458,34.9103402,Alcorn County,ChIJuyVHfCXBfYgR7g-NXy375k0,MS,88.0,64.0,88.0,False,10005532,,,,,,,,,,,,,,,
b4597e05076938,ALCORN COUNTY CWC,Mississippi Department of Corrections,,MS,GTL,,2021-04-04T13:52:53.850Z,,,ALCORN COUNTY CORRECTIONAL CENTER,"2839 S Harper Rd, Corinth, MS 38834, United States",-88.5518458,34.9103402,Alcorn County,ChIJuyVHfCXBfYgR7g-NXy375k0,MS,88.0,87.0,88.0,False,10005532,,,,,,,,,,,,,,,
63b84d25567478,REGIONAL JAIL,Alcorn County MS-Regional Jail,,MS,GTL,,2021-04-04T13:51:58.223Z,,,ALCORN COUNTY CORRECTIONAL CENTER,"2839 S Harper Rd, Corinth, MS 38834, United States",-88.5518458,34.9103402,Alcorn County,ChIJuyVHfCXBfYgR7g-NXy375k0,MS,88.0,76.0,88.0,False,10005532,,,,,,,,,,,,,,,
e28f073d51c8c1,MADISON COUNTY CWC,Mississippi Department of Corrections,,MS,GTL,,2021-04-04T13:53:28.942Z,,,CORRECTIONS DEPARTMENT,"140 Corrections Dr, Canton, MS 39046, United States",-90.04537010000001,32.5879632,Madison County,ChIJXb3BQgjZKYYRGZmNNr30OI8,MS,45.0,88.0,88.0,False,10004246,,,,,,,,,,,,,,,
e38995ef3cb152,CENTURY REGIONAL:  PRO PER,Los Angeles County CA,,CA,GTL,,2021-04-04T13:54:35.923Z,,,CENTURY REGIONAL DETENTION FACILITY,"11705 S Alameda St, Los Angeles, CA 90059, United States",-118.227439,33.9281097,Los Angeles County,ChIJQ3yqIJXLwoARwqiZp91ruOo,CA,88.0,80.0,88.0,False,10002356,,,,,,,,,,,,,,,
eb863d3315d447,LEFLORE COUNTY CWC,Mississippi Department of Corrections,,MS,GTL,,2021-04-04T13:53:25.804Z,,,COMMUNITY WORK CENTER,"3400 Co Rd 540, Greenwood, MS 38930, United States",-90.2010767,33.48749310000001,Leflore County,ChIJY7t8RYlsKoYR8JXUSWnKmN0,MS,41.0,88.0,88.0,False,10005553,,,,,,,,,,,,,,,
e54d4392565919,MAIN JAIL,Tulare County CA,,CA,GTL,,2021-04-04T13:59:45.677Z,,,TULARE COUNTY MAIN JAIL,"2404 W Burrel Ave, Visalia, CA 93291, United States",-119.3173208,36.3280532,Tulare County,ChIJWcWo-lYvlYARpAkHEAV_m7c,CA,88.0,62.0,88.0,False,10002336,,,,,,,,,,,,,,,
b4fcefd43b30c3,BEAUMONT FCC,,,TX,GTL,,2021-04-04T14:06:53.801Z,,,BEAUMONT MEDIUM FEDERAL PRISON,"5830 Knauth Rd, Beaumont, TX 77705, United States",-94.0801703,29.9714153,Jefferson County,ChIJvcmyzsTJPoYR2CqajzhlEYw,TX,88.0,80.0,88.0,False,10001989,,,,,,,,,,,,,,,
a57128d700c211,SIMPSON COUNTY CWC,Mississippi Department of Corrections,,MS,GTL,,2021-04-04T13:53:48.759Z,,,SIMPSON SHERIFF'S OFFICE,"1496 MS-149, Mendenhall, MS 39114, United States",-89.86043459999999,31.9595252,Simpson County,ChIJMbB1CsKigogRR_M3SSIUIC0,MS,46.0,88.0,88.0,False,10005579,,,,,,,,,,,,,,,
44c54caad323d7,NOXUBEE COUNTY CWC,Mississippi Department of Corrections,,MS,GTL,,2021-04-04T13:53:35.846Z,,,MISSISSIPPI DEPARTMENT-CORRECTIONS,"110 Industrial Park Rd, Macon, MS 39341, United States",-88.5680742,33.118934,Noxubee County,ChIJWcEdrtmmhogRq_a8Kl-2SLI,MS,29.0,88.0,88.0,False,10004239,,,,,,,,,,,,,,,
9d53de7ef5447d, NORTHEASTERN CORRECTIONAL CENTER,,,MA,SECURUS,9302.0,2021-01-08T21:43:46.493Z,,,NORTHEAST CORRECTIONAL CENTER,"1 Barretts Mill Rd, Concord, MA 01742, United States",-71.39809199999999,42.472193,Middlesex County,ChIJh5D_mbuQ44kRfsK-yyAhqeM,MA,76.0,88.0,88.0,False,10001392,,,,,,,,,,,,,,,
250ac7dafd2a8b,DAVIDSON COUNTY DOWNTOWN DETENTION CENTER (DDC),,,TN,SECURUS,9293.0,2021-01-09T01:29:04.913Z,,,NASHVILLE DOWNTOWN DETENTION CENTER,"200 James Robertson Pkwy, Nashville, TN 37201, United States",-86.77948320000002,36.1675872,Davidson County,ChIJ8XpBCwxnZIgRjgQPb_UfpF4,TN,71.0,88.0,88.0,False,10003502,,,,,,,,,,,,,,,
7b54aedfe275b1,LEWIS COUNTY DETENTION CENTER,,,KY,SECURUS,9306.0,2021-01-08T20:46:20.847Z,,,LEWIS COUNTY DETENTION CENTER,"26 Railroad St, Vanceburg, KY 41179, United States",-83.31701029999999,38.6006334,Lewis County,ChIJN3eHTmyjRogROsGo036rgYo,KY,88.0,88.0,88.0,False,10004313,,,,,,,,,,,,,,,
163ba5c6a0a273,ST FRANCOIS COUNTY JAIL,,,MO,SECURUS,9305.0,2021-01-09T00:17:28.708Z,,,ST FRANCOIS COUNTY JAIL INMATE ROSTER,"1550 Doubet Rd, Farmington, MO 63640, United States",-90.4377423,37.7641321,St. Francois County,ChIJeTcHU51F2IcRO7nv2yYi1mk,MO,70.0,88.0,88.0,False,10004066,,,,,,,,,,,,,,,
20ecc153831d07,CHOUTEAU COUNTY DETENTION CENTER,,,MT,SECURUS,9297.0,2021-01-09T00:18:58.283Z,,,CHOUTEAU COUNTY SHERIFF'S OFFICE,"1215 Washington St, Fort Benton, MT 59442, United States",-110.6729093,47.81670279999999,Chouteau County,ChIJ1Q1Vr0DrQVMR8l8d2nTcEWw,MT,64.0,88.0,88.0,False,10006434,,,,,,,,,,,,,,,
a3a6dc117f3e66,PIKE COUNTY SHERIFF'S DEPT,,,GA,SECURUS,9281.0,2021-03-01T18:01:43.590Z,,,PIKE COUNTY SHERIFF'S OFFICE,"89 Jackson St, Zebulon, GA 30295, United States",-84.341942,33.1034149,Pike County,ChIJIRYik2uG9IgRB5Mkrmy28yU,GA,88.0,88.0,88.0,False,10004488,,,,,,,,,,,,,,,
b3b00c3d4834d9,BERKSHIRE COUNTY HOUSE OF CORRECTIONS,,,MA,SECURUS,9283.0,2021-01-08T21:28:51.244Z,,,BERKSHIRE COUNTY SHERIFF'S OFFICE,"467 Cheshire Rd, Pittsfield, MA 01201, United States",-73.2022237,42.4874196,Berkshire County,ChIJHZk5-hRM54kRRklh5l07eKM,MA,65.0,88.0,88.0,False,10003856,,,,,,,,,,,,,,,
e8ce5f9f2fc651,COWLITZ COUNTY JUVENILE FACILITY,,,WA,SECURUS,9291.0,2021-01-09T17:00:44.808Z,,,COWLITZ COUNTY JUVENILE COURT,"1725 1st Ave, Longview, WA 98632, United States",-122.9198166,46.1405876,Cowlitz County,ChIJCbWjpZdslFQRH1c1PTS2-Ww,WA,88.0,84.0,88.0,False,10006880,,,,,,,,,,,,,,,
16fb1ff473adf7,TIFT COUNTY LAW ENFORCEMENT CENTER,,,GA,SECURUS,9290.0,2021-03-01T18:02:38.814Z,,,TIFT COUNTY SHERIFF'S OFFICE,"500 Morgan Dr, Tifton, GA 31794, United States",-83.5175988,31.4545909,Tift County,ChIJ-XFANuUB7ogRU1VQAoH2Ga0,GA,88.0,63.0,88.0,False,10004539,,,,,,,,,,,,,,,
2e440da24ee05a,BLADEN COUNTY LAW ENFORCEMENT CENTER,,,NC,SECURUS,9288.0,2021-01-09T00:45:54.638Z,,,BLADEN COUNTY DETENTION CENTER,"299 Smith Cir, Elizabethtown, NC 28337, United States",-78.6075956,34.6151531,Bladen County,ChIJRdqvaFFUqokRHXMdBuDEFBM,NC,88.0,66.0,88.0,False,10004214,,,,,,,,,,,,,,,
2ec599f4186b23, HAMILTON COMMUNITY WORK RELEASE/CENTER,,,AL,SECURUS,9287.0,2021-03-01T16:58:10.184Z,,,WORK RELEASE CENTER,"1826 Bexar Ave E, Hamilton, AL 35570, United States",-87.9597876,34.1439853,Marion County,ChIJcyfqhSWWh4gRTKv45jciB3k,AL,73.0,88.0,88.0,False,10001199,,,,,,,,,,,,,,,
726b733487aadb,SULLIVAN COUNTY DOC,,,NH,SECURUS,9286.0,2021-01-09T00:28:18.086Z,,,SULLIVAN COUNTY JAIL-HOUSE,"103 County Farm Rd, Claremont, NH 03743, United States",-72.31181930000001,43.3098804,Sullivan County,ChIJybHDhE6V4YkRApkd3NUl3e8,NH,73.0,88.0,88.0,False,10006059,,,,,,,,,,,,,,,
6e3f06ca51cf07,ELKHART COUNTY COMMUNITY CORRECTIONS,,,IN,SECURUS,9298.0,2021-03-01T18:20:29.649Z,,,ELKHART COUNTY COMMUNITY CORRECTIONS,"201 N Cottage Ave, Goshen, IN 46528, United States",-85.8301507,41.5883878,Elkhart County,ChIJgSv1qBXsFogRHQG4pKTdppo,IN,88.0,88.0,88.0,False,10004892,,,,,,,,,,,,,,,
5e0911474100e2,CARROLL COUNTY DOC,,,NH,SECURUS,9280.0,2021-01-09T00:27:27.304Z,,,CARROLL COUNTY DEPARTMENT OF CORRECTIONS,"50 County Farm Rd, Ossipee, NH 03864, United States",-71.1317218,43.6823111,Carroll County,ChIJZ9-Rnysis0wRL9ejX7zfZaA,NH,85.0,88.0,88.0,False,10006058,,,,,,,,,,,,,,,
1869e885c1219f,HARRISON COUNTY CWC,Mississippi Department of Corrections,,MS,GTL,,2021-04-04T13:53:12.988Z,,,HARRISON COUNTY SATELLITE,"3820 8th Ave, Gulfport, MS 39501, United States",-89.0689316,30.39563859999999,Harrison County,ChIJH1kYGE8WnIgR4Z7wHn-8IoA,MS,75.0,88.0,88.0,False,10004266,,,,,,,,,,,,,,,
b32bdf773c92cf,BELKNAP COUNTY HOC,,,NH,SECURUS,9282.0,2021-01-09T00:27:17.668Z,,,BELKNAP COUNTY JAIL,"76 County Dr, Laconia, NH 03246, United States",-71.48422359999999,43.5434801,Belknap County,ChIJfcqfWS00s0wRp0gjO1MzHJ4,NH,85.0,88.0,88.0,False,10004117,,,,,,,,,,,,,,,
aac077d1f4b788,SPARTANBURG COUNTY DETENTION FACILITY,,,SC,SECURUS,9285.0,2021-01-09T01:24:21.550Z,,,SPARTANBURG COUNTY DETENTION CENTER,"950 California Ave, Spartanburg, SC 29303, United States",-81.9623107,34.972927,Spartanburg County,ChIJZfESjnJ2V4gRZHEMWkpJMCc,SC,88.0,71.0,88.0,False,10005005,,,,,,,,,,,,,,,
17647ab38d2ae9,BOLIVAR COUNTY CWC,Mississippi Department of Corrections,,MS,GTL,,2021-04-04T13:52:57.378Z,,,BOLIVAR COUNTY CWC,"604 MS-1, Rosedale, MS 38769, United States",-91.0277573,33.85688,Bolivar County,ChIJq7baVhh3K4YRFYCZUcMpKc8,MS,88.0,88.0,88.0,False,10005548,,,,,,,,,,,,,,,
e9ca3e6281de01,NOBLE COUNTY SHERIFF'S OFFICE,,,OH,SECURUS,9304.0,2021-01-09T00:59:54.041Z,,,NOBLE COUNTY SHERIFF'S OFFICE,"420 Olive St, Caldwell, OH 43724, United States",-81.5136347,39.7430124,Noble County,ChIJay7_YVIrNogRPhXQszwP7zk,OH,88.0,88.0,88.0,False,10005439,,,,,,,,,,,,,,,
884eebc1a1f602,LANCASTER COUNTY DETENTION CENTER,LCRNE,Lancaster County,NE,ICS,9301.0,2021-03-06T02:49:23.342Z,,,LANCASTER COUNTY DEPARTMENT OF CORRECTIONS,"3801 W O St, Lincoln, NE 68528, United States",-96.7753791,40.81242880000001,Lancaster County,ChIJgdHrzu3AlocRg5FO_a-iaBA,NE,64.0,88.0,88.0,False,10001741,,,,,,,,,,,,,,,
1fce78eedd319c,PARK COUNTY DETENTION CENTER,,,CO,SECURUS,9299.0,2021-03-01T17:22:42.653Z,,,PARK COUNTY SHERIFF'S OFFICE,"1180 Co Rd 16, Fairplay, CO 80440, United States",-105.988905,39.22353,Park County,ChIJSTOQM0onQYYRMPO1t_Q4pzs,CO,88.0,63.0,88.0,False,10002212,,,,,,,,,,,,,,,
e2c5efbe9e6c87,INGHAM COUNTY CORRECTIONAL FACILITY,,,MI,SECURUS,9284.0,2021-01-08T22:08:16.966Z,,,MICHIGAN DEPARTMENT OF CORRECTIONS,"206 E Michigan Ave, Lansing, MI 48933, United States",-84.5503487,42.7331933,Ingham County,ChIJPyAt7djBIogRrOh1L5CIjPE,MI,56.0,88.0,88.0,False,10000272,,,,,,,,,,,,,,,
896824c5d600e8,FENTRESS COUNTY JUSTICE CENTER,,,TN,SECURUS,9307.0,2021-01-09T01:29:42.154Z,,,FENTRESS COUNTY COURT CLERK,"140 Justice Center Drive, Jamestown, TN 38556, United States",-84.9267807,36.417881,Fentress County,ChIJ9bPpnKWAXYgRmzYX1M5yRBE,TN,56.0,88.0,88.0,False,10003493,,,,,,,,,,,,,,,
0caf086ba9b0b5,SHELBY COUNTY SHERIFF'S OFFICE,,,OH,SECURUS,9303.0,2021-01-09T01:02:16.627Z,,,SHELBY COUNTY SHERIFF'S OFFICE,"555 Gearhart Rd, Sidney, OH 45365, United States",-84.14941,40.2719912,Shelby County,ChIJnd0qt_AOP4gRygZMZZQ8sEI,OH,88.0,88.0,88.0,False,10005435,,,,,,,,,,,,,,,
ebed7e7ae4a908,GEO_CARES AL THERAPEUTIC EDUCATION FACILITY,,,AL,GTL,,2021-04-04T12:39:44.119Z,,,ATEF,"102 Industrial Pkwy, Columbiana, AL 35051, United States",-86.6240675,33.1807547,Shelby County,ChIJlZ03DqM3iYgRAjomhUiJOuQ,AL,14.0,88.0,88.0,False,10006524,,,,,,,,,,,,,,,
8544af2ce24189,YAKIMA COUNTY JAIL,,,WA,SECURUS,9295.0,2021-01-09T17:05:21.332Z,,,YAKIMA COUNTY DEPARTMENT OF CORRECTIONS,"111 N Front St, Yakima, WA 98901, United States",-120.508203,46.603939,Yakima County,ChIJRZHyG-3XmVQRzejfMZEsQtQ,WA,88.0,84.0,88.0,False,10001685,,,,,,,,,,,,,,,
c55c6297d14848,PIERCE COUNTY DETENTION CORRECTIONS CENTER,,,WA,SECURUS,9296.0,2021-01-09T17:03:01.999Z,,,PIERCE COUNTY CORRECTIONS,"910 Tacoma Ave S, Tacoma, WA 98402, United States",-122.4454803,47.2540283,Pierce County,ChIJl5Z4OApVkFQRoONGkKHiNRk,WA,56.0,88.0,88.0,False,10001680,,,,,,,,,,,,,,,
4989e5073bb570,FORREST COUNTY CWC,Mississippi Department of Corrections,,MS,GTL,,2021-04-04T13:53:03.568Z,,,CORRECTIONS DEPARTMENT-COMMUNITY WORK,"112 Alcorn Ave, Hattiesburg, MS 39401, United States",-89.28243169999999,31.3157219,Forrest County,ChIJtYpgTfjcnIgR4UvHDi3lm9Y,MS,66.0,88.0,88.0,False,10004256,,,,,,,,,,,,,,,
