,id,facilityInternal,agencyInternal,agencyFullNameInternal,stateInternal,company,canonicalFacilityId,createdAt,hidden_override,notes,googlePlaceName,address,longitude,latitude,county,googlePlaceId,state,index_right,FID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,SHAPE_Leng,SHAPE_Le_1,SHAPE_Area,g_name_sim,internal_name_sim,name_override,jurisdiction_override,address_override,longitude_override,latitude_overrride,state_override,county_override,countyFIPS_override,HIFLDID_override,UCLACovid19ID_override
852,853,WAYNE COUNTY JAIL,,,OH,SECURUS,,2021-01-09T01:03:26.539Z,,,WAYNE COUNTY JAIL,"201 W North St, Wooster, OH 44691, United States",-81.9424698,40.7994524,Wayne County,ChIJwUVzumJGN4gR87ykfzFeets,OH,94,95,10003379,WAYNE COUNTY JAIL,201 W NORTH ST,WOOSTER,OH,44691,-999,(330) 287-5770,COUNTY,OPEN,270,WAYNE,39169,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.waynecountysheriff.com/wayne-county-jail,2018-04-12,IMAGERY/OTHER,2020-02-20,https://www.waynecountysheriff.com/wayne-county-jail,NOT AVAILABLE,-999,0.0020224215735,255.8018725920903,1.9578002e-07,100,100,,,,,,,,,,
853,854,WESTERN OH REGIONAL TREATMENT,,,OH,SECURUS,,2021-01-09T01:03:35.631Z,,,WORTH CENTER,"243 E Bluelick Rd, Lima, OH 45801, United States",-84.1034011,40.7890205,Allen County,ChIJR1q8a6DyPogRWYBJ27BMyfs,OH,3781,3782,10003390,WESTERN OHIO REGIONAL TREATMENT & REHABILITATION CENTER / WORTH CENTER,243 E BLUELICK RD,LIMA,OH,45802,-999,(419) 222-3339,STATE,OPEN,94,ALLEN,39003,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.drc.ohio.gov/worth-center,2017-08-15,IMAGERY/OTHER,2020-02-20,https://www.worthcenter.org/,MINIMUM,98,0.00345506254415,432.56622252556133,4.85593473e-07,100,95,,,,,,,,,,
854,855,WOOD COUNTY JAIL,,,OH,SECURUS,,2021-01-09T01:03:44.234Z,,,WOOD COUNTY JUSTICE CENTER,"1960 E Gypsy Lane Rd, Bowling Green, OH 43402, United States",-83.6120073,41.3550193,Wood County,ChIJ69OzkxcKPIgRYnvURwOM2Xw,OH,3741,3742,10005951,WOOD COUNTY JUVENILE DETENTION CENTER,1032 SOUTH DUNBRIDGE RD,BOWLING GREEN,OH,43402,-999,(419) 352-3554,COUNTY,OPEN,-999,WOOD,39173,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.co.wood.oh.us/juvenilecourt/detention.html,2018-04-12,IMAGERY/OTHER,2020-02-20,https://www.co.wood.oh.us/juvenilecourt/detention.html,JUVENILE,48,0.00423793013291,534.8892446156934,4.79584431e-07,82,81,,,,,,,,,,
854,855,WOOD COUNTY JAIL,,,OH,SECURUS,,2021-01-09T01:03:44.234Z,,,WOOD COUNTY JUSTICE CENTER,"1960 E Gypsy Lane Rd, Bowling Green, OH 43402, United States",-83.6120073,41.3550193,Wood County,ChIJ69OzkxcKPIgRYnvURwOM2Xw,OH,3789,3790,10005950,JUVENILE RESIDENTIAL CENTER OF NW OHIO,1012 S DUNBRIDGE RD,BOWLING GREEN,OH,43402,-999,(419) 353-4406,COUNTY,OPEN,33,WOOD,39173,USA,922140,CORRECTIONAL INSTITUTIONS,https://jrcnwo.org/,2015-08-04,IMAGERY/OTHER,2020-02-20,https://jrcnwo.org/,JUVENILE,42,0.00337248890458,415.15047137818,4.19111785e-07,50,44,,,,,,,,,,
856,857,WYANDOT COUNTY SHERIFFS OFFICE,,,OH,SECURUS,,2021-01-09T01:04:00.759Z,,,WYANDOT COUNTY SHERIFF,"125 E Wyandot Ave, Upper Sandusky, OH 43351, United States",-83.28017659999999,40.8271186,Wyandot County,ChIJqx1AFpdBOYgR66AP1RHChkQ,OH,3609,3610,10005960,WYANDOT COUNTY JAIL,125 E WYANDOT AVE,UPPER SANDUSKY,OH,43351,-999,(419) 294-2362,COUNTY,OPEN,-999,WYANDOT,39175,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.co.wyandot.oh.us/sheriff/corrections.php,2018-04-12,IMAGERY/OTHER,2020-02-20,http://www.co.wyandot.oh.us/sheriff/corrections.php,NOT AVAILABLE,-999,0.00127688052338,166.5198394974911,8.3186129e-08,85,85,,,,,,,,,,
858,859,DAVIS CCA,,,OK,SECURUS,,2021-01-09T01:04:17.684Z,,,DAVIS CORRECTIONAL FACILITY,"6888 E 133 Rd, Holdenville, OK 74848, United States",-96.4442878,35.0884898,Hughes County,ChIJET6V3dSDs4cRnRmzM2cSIjg,OK,6378,6379,10003586,EARL A DAVIS COMMUNITY WORK CENTER,3297 N 369 RD,HOLDENVILLE,OK,74848,-999,(405) 379-7296,STATE,CLOSED,0,HUGHES,40063,USA,922140,CORRECTIONAL INSTITUTIONS,https://oklahoman.com/article/5498401/oklahoma-communities-brace-for-closure-of-states-inmate-work-centers,2016-08-05,IMAGERY/OTHER,2020-01-21,http://www.ok.gov/doc/Organization/Field_Operations/Community_Corrections/Earl_A._Davis_CWC.html,MINIMUM,84,0.00515874084935,621.9481304398041,1.720032801e-06,46,71,,,,,,,,,,
858,859,DAVIS CCA,,,OK,SECURUS,,2021-01-09T01:04:17.684Z,,,DAVIS CORRECTIONAL FACILITY,"6888 E 133 Rd, Holdenville, OK 74848, United States",-96.4442878,35.0884898,Hughes County,ChIJET6V3dSDs4cRnRmzM2cSIjg,OK,6356,6357,10001734,DAVIS CORRECTIONAL FACILITY,6888 E 133RD RD,HOLDENVILLE,OK,74848,9033,(405) 379-6400,STATE,OPEN,1651,HUGHES,40063,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/weekly-count,2018-01-02,IMAGERY/OTHER,2020-01-21,http://www.corecivic.com/facilities,MEDIUM,1674,0.0133075186687,1654.8498536332067,1.0279571944e-05,100,71,,,,,,,,,,
860,861,GARVIN COUNTY JAIL,,,OK,SECURUS,,2021-01-09T01:04:40.942Z,,,GARVIN COUNTY SHERIFF'S OFFICE,"201 W Grant Ave # 4, Pauls Valley, OK 73075, United States",-97.2222654,34.7405675,Garvin County,ChIJh4blOSvksocRTq7PCESc69A,OK,3194,3195,10005484,GARVIN COUNTY JAIL,201 W GRANT,PAULS VALLEY,OK,73075,-999,(405) 238-7591,COUNTY,OPEN,62,GARVIN,40049,USA,922140,CORRECTIONAL INSTITUTIONS,http://garvincountysheriff.net/index.html,2018-04-13,IMAGERY/OTHER,2020-01-21,http://garvincountysheriff.net/index.html,NOT AVAILABLE,-999,0.00172465273699,209.39242767077772,1.37793403e-07,84,100,,,,,,,,,,
861,862," CHARLES E ""BILL"" JOHNSON CORRECTIONAL CENTER",,,OK,SECURUS,,2021-01-09T01:04:50.583Z,,,CHARLES E. 'BILL' JOHNSON CORRECTIONAL CENTER,"1856 E Flynn St, Alva, OK 73717, United States",-98.6325644,36.80500869999999,Woods County,ChIJYeQI-QVwr4cRuRsTLE4xCS4,OK,6351,6352,10003565,CHARLES E JOHNSON CORRECTIONAL CENTER,1856 E FLYNN ST,ALVA,OK,73717,3005,(580) 327-8000,STATE,OPEN,550,WOODS,40151,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/weekly-count,2018-01-02,IMAGERY/OTHER,2020-01-21,http://doc.ok.gov/charles-e-bill-johnson-correctional-center,MINIMUM,584,0.0080617315147,965.506505572749,3.604030877e-06,100,100,,,,,,,,,,
862,863, CLARA WATERS COMMUNITY CORRECTIONS CENTER,,,OK,SECURUS,,2021-01-09T01:05:07.329Z,,,CLARA WATERS COMMUNITY CORRECTIONS CENTER,"9901 N I- 35 Service Rd, Oklahoma City, OK 73131, United States",-97.448891,35.5716553,Oklahoma County,ChIJ7fbTXKIYsocR69tzIb8QiI0,OK,1709,1710,10002629,CLARA WATERS COMMUNITY CORRECTIONS CENTER,9901 N I-35 SERVICE RD,OKLAHOMA CITY,OK,73131,5228,(405) 254-3200,STATE,OPEN,297,OKLAHOMA,40109,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/weekly-count,2018-01-02,IMAGERY/OTHER,2020-01-21,http://doc.ok.gov/state-institutions,MINIMUM,288,0.00746216637394,913.8595020093103,3.322147478e-06,100,100,,,,,,,,,,
880,881, OKLAHOMA CITY COMMUNITY CORRECTIONS CENTER,,,OK,SECURUS,,2021-01-09T01:08:24.330Z,,,CLARA WATERS COMMUNITY CORRECTIONS CENTER,"9901 N I- 35 Service Rd, Oklahoma City, OK 73131, United States",-97.448891,35.5716553,Oklahoma County,ChIJ7fbTXKIYsocR69tzIb8QiI0,OK,1709,1710,10002629,CLARA WATERS COMMUNITY CORRECTIONS CENTER,9901 N I-35 SERVICE RD,OKLAHOMA CITY,OK,73131,5228,(405) 254-3200,STATE,OPEN,297,OKLAHOMA,40109,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/weekly-count,2018-01-02,IMAGERY/OTHER,2020-01-21,http://doc.ok.gov/state-institutions,MINIMUM,288,0.00746216637394,913.8595020093103,3.322147478e-06,100,81,,,,,,,,,,
883,884, UNION CITY COMMUNITY CORRECTIONS CENTER,,,OK,SECURUS,,2021-01-09T01:09:01.168Z,,,CLARA WATERS COMMUNITY CORRECTIONS CENTER,"9901 N I- 35 Service Rd, Oklahoma City, OK 73131, United States",-97.448891,35.5716553,Oklahoma County,ChIJ7fbTXKIYsocR69tzIb8QiI0,OK,1709,1710,10002629,CLARA WATERS COMMUNITY CORRECTIONS CENTER,9901 N I-35 SERVICE RD,OKLAHOMA CITY,OK,73131,5228,(405) 254-3200,STATE,OPEN,297,OKLAHOMA,40109,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/weekly-count,2018-01-02,IMAGERY/OTHER,2020-01-21,http://doc.ok.gov/state-institutions,MINIMUM,288,0.00746216637394,913.8595020093103,3.322147478e-06,100,84,,,,,,,,,,
863,864, DICK CONNER CORRECTIONAL CENTER,,,OK,SECURUS,,2021-01-09T01:05:17.532Z,,,DICK CONNER CORRECTIONAL CENTER,"129 Conner Road, Hominy, OK 74035, United States",-96.3944809,36.4685418,Osage County,ChIJCcz5TDjVtocRFexd6E6GFqs,OK,6354,6355,10003568,DICK CONNER CORRECTIONAL CENTER,129 CONNER RD,HOMINY,OK,74035,0220,(918) 594-1300,STATE,OPEN,1187,OSAGE,40113,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/weekly-count,2018-01-02,IMAGERY/OTHER,2020-01-21,http://doc.ok.gov/state-institutions,MEDIUM,1167,0.0152768966869,1895.2452642721114,1.1460339649e-05,100,100,,,,,,,,,,
864,865, DR EDDIE WARRIOR CORRECTIONAL CENTER,,,OK,SECURUS,,2021-01-09T01:05:27.505Z,,,DR. EDDIE WARRIOR CORRECTIONAL CENTER,"601 N Oak St, Taft, OK 74463, United States",-95.542387,35.7693289,Muskogee County,ChIJDZgK5hTYtYcR0v_K_2ar5rU,OK,6352,6353,10003571,DR. EDDIE WARRIOR CORRECTIONAL CENTER,601 N OAK ST,TAFT,OK,74463,0315,(918) 683-8365,STATE,OPEN,980,MUSKOGEE,40101,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/weekly-count,2018-01-02,IMAGERY/OTHER,2020-01-21,http://doc.ok.gov/state-institutions,MINIMUM,988,0.0135129071773,1660.4961504574483,1.0514189462e-05,100,100,,,,,,,,,,
865,866, ENID COMMUNITY CORRECTIONS CENTER,,,OK,SECURUS,,2021-01-09T01:05:37.850Z,,,ENID COMMUNITY CORRECTIONS CENTER,"2020 E Maine Ave, Enid, OK 73701, United States",-97.8480059,36.3956733,Garfield County,ChIJP3XtnF_Ur4cRTHFR7ko7s5c,OK,1703,1704,10001722,ENID COMMUNITY CORRECTIONS CENTER,2020 E MAINE AVE,ENID,OK,73701,6445,(580) 977-3800,STATE,OPEN,95,GARFIELD,40047,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/weekly-count,2018-01-02,IMAGERY/OTHER,2020-01-21,http://doc.ok.gov/state-institutions,MINIMUM,98,0.00146238881615,170.10845858271722,7.867435e-08,100,100,,,,,,,,,,
866,867, HOWARD MCLEOD CORRECTIONAL CENTER,,,OK,SECURUS,,2021-01-09T01:05:50.096Z,,,MC LEOD CORRECTIONAL CENTER,"19603 E. Whippoorwill Lane, Atoka, OK 74525, United States",-95.8204734,34.1585262,Atoka County,ChIJWXv6OHsmS4YRGfRt_QOr4VM,OK,1584,1585,10003591,HOWARD MCLEOD CORRECTIONAL CENTER,19603 E WHIPPOORWILL LN,ATOKA,OK,74525,8415,(580) 889-6651,STATE,OPEN,657,ATOKA,40005,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/weekly-count,2018-01-02,IMAGERY/OTHER,2020-01-21,http://doc.ok.gov/state-institutions,MINIMUM,649,0.0164153934851,1998.5474495747353,1.0015975522e-05,83,100,,,,,,,,,,
867,868, JACKIE BRANNON CORRECTIONAL CENTER,,,OK,SECURUS,,2021-01-09T01:06:00.220Z,,,JACKIE BRANNON CORRECTION CENTER,"901 N West St, McAlester, OK 74501, United States",-95.7827832,34.9435568,Pittsburg County,ChIJDYUTFvj8tIcR5NKFm81u610,OK,1726,1727,10003585,JACKIE BRANNON CORRECTIONAL CENTER,900 N WEST ST,MCALESTER,OK,74502,1999,(918) 421-3339,STATE,OPEN,720,PITTSBURG,40121,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/weekly-count,2018-01-02,IMAGERY/OTHER,2020-01-21,http://doc.ok.gov/state-institutions,MINIMUM,737,0.0070626390358,873.2826901996544,1.688549274e-06,97,100,,,,,,,,,,
867,868, JACKIE BRANNON CORRECTIONAL CENTER,,,OK,SECURUS,,2021-01-09T01:06:00.220Z,,,JACKIE BRANNON CORRECTION CENTER,"901 N West St, McAlester, OK 74501, United States",-95.7827832,34.9435568,Pittsburg County,ChIJDYUTFvj8tIcR5NKFm81u610,OK,1046,1047,10006039,PITTSBURG COUNTY JUVENILE DETENTION CENTER,1208 N WEST ST,MCALESTER,OK,74501,-999,NOT AVAILABLE,COUNTY,OPEN,-999,PITTSBURG,40121,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.ok.gov/occy/Programs/Office_of_Juvenile_System_Oversight/Facilities/OJSO_Pittsburg_County_Regional_Juvenile_Detention_Center.html, https://www.facebook.com/pages/Pittsburg-County-Juvenile-Detention-Center/116389051754474",2016-02-15,IMAGERY/OTHER,2020-01-21,NOT AVAILABLE,JUVENILE,-999,0.00179216381796,216.99348845385114,8.7864214e-08,51,50,,,,,,,,,,
867,868, JACKIE BRANNON CORRECTIONAL CENTER,,,OK,SECURUS,,2021-01-09T01:06:00.220Z,,,JACKIE BRANNON CORRECTION CENTER,"901 N West St, McAlester, OK 74501, United States",-95.7827832,34.9435568,Pittsburg County,ChIJDYUTFvj8tIcR5NKFm81u610,OK,1043,1044,10006038,PITTSBURG COUNTY JAIL,1210 N WEST ST,MCALESTER,OK,74501,-999,NOT AVAILABLE,COUNTY,OPEN,-999,PITTSBURG,40121,USA,922140,CORRECTIONAL INSTITUTIONS,https://pittsburg.okcounties.org/offices/County%20Sheriff,2018-04-16,IMAGERY/OTHER,2020-01-21,NOT AVAILABLE,NOT AVAILABLE,-999,0.00406294397791,496.83845610997895,4.12878885e-07,26,29,,,,,,,,,,
868,869, JAMES CRABTREE CORRECTIONAL CENTER,,,OK,SECURUS,,2021-01-09T01:06:12.602Z,,,JAMES CRABTREE CORRECTION CENTER,"3rd St, Helena, OK 73741, United States",-98.2767018,36.546092,Alfalfa County,ChIJFb0L2hq7r4cRAeYWZe3HEys,OK,6355,6356,10001016,JAMES CRABTREE CORRECTIONAL CENTER,216 N. MURRAY ST.,HELENA,OK,73741,1017,(580) 852-3221,STATE,OPEN,1149,ALFALFA,40003,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/weekly-count,2018-01-02,IMAGERY/OTHER,2020-01-21,http://doc.ok.gov/state-institutions,MEDIUM,1133,0.0122839985126,1519.19337524325,6.201122169e-06,97,100,,,,,,,,,,
869,870, JESS DUNN CORRECTIONAL CENTER,,,OK,SECURUS,,2021-01-09T01:06:21.107Z,,,OKLAHOMA DEPARTMENT OF CORRECTIONS,"601 S 124th St W, Taft, OK 74463, United States",-95.5551456,35.7549155,Muskogee County,ChIJOYmZui3YtYcRZUPAjOU8Txw,OK,1668,1669,10001725,JESS DUNN CORRECTIONAL CENTER,601 S 124TH ST W,TAFT,OK,74463,0316,(918) 682-7841,STATE,OPEN,1109,MUSKOGEE,40101,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/weekly-count,2018-01-02,IMAGERY/OTHER,2020-01-21,http://doc.ok.gov/state-institutions,MINIMUM,1087,0.0142113954709,1734.870397954632,1.1647469189e-05,44,100,,,,,,,,,,
871,872, JOHN LILLEY CORRECTIONAL CENTER,,,OK,SECURUS,,2021-01-09T01:06:41.629Z,,,J H LILLEY CORRECTIONAL CENTER,"407971 Highway 62E, Boley, OK 74829, United States",-96.4744821,35.4817438,Okfuskee County,ChIJ5ackUaT2s4cRBjzDH1EZJNs,OK,1681,1682,10001729,JOHN H LILLEY CORRECTIONAL CENTER,407971 HWY 62E,BOLEY,OK,74829,-999,(918) 667-3381,STATE,OPEN,823,OKFUSKEE,40107,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/weekly-count,2018-01-02,IMAGERY/OTHER,2020-01-21,http://doc.ok.gov/state-institutions,MINIMUM,822,0.0147831835896,1828.517594327142,1.1362065579e-05,97,100,,,,,,,,,,
873,874, KATE BARNARD COMMUNITY CORRECTIONS CENTER,,,OK,SECURUS,,2021-01-09T01:07:06.067Z,,,KATE BARNARD COMMUNITY CORRECTIONS CENTER,"3300 N Martin Luther King Ave, Oklahoma City, OK 73111, United States",-97.4748785,35.5026184,Oklahoma County,ChIJqwZ_7YMXsocRUgEIc-TY7Xc,OK,6361,6362,10003576,KATE BARNARD CORRECTIONAL CENTER,3300 MARTIN LUTHER KING AVE,OKLAHOMA CITY,OK,73111,-999,(405) 425-2900,STATE,OPEN,239,OKLAHOMA,40109,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/weekly-count,2018-01-02,IMAGERY/OTHER,2020-01-21,http://doc.ok.gov/state-institutions,MINIMUM,250,0.00606900499296,735.8430405868882,1.901025626e-06,82,82,,,,,,,,,,
881,882, OKLAHOMA STATE PENITENTIARY,,,OK,SECURUS,,2021-01-09T01:08:35.947Z,,,OKLAHOMA DEPARTMENT OF CORRECTIONS,"3400 N Martin Luther King Ave, Oklahoma City, OK 73111, United States",-97.475308,35.5030298,Oklahoma County,ChIJG4FXQ68QsocRI61HhGEP_ok,OK,6361,6362,10003576,KATE BARNARD CORRECTIONAL CENTER,3300 MARTIN LUTHER KING AVE,OKLAHOMA CITY,OK,73111,-999,(405) 425-2900,STATE,OPEN,239,OKLAHOMA,40109,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/weekly-count,2018-01-02,IMAGERY/OTHER,2020-01-21,http://doc.ok.gov/state-institutions,MINIMUM,250,0.00606900499296,735.8430405868882,1.901025626e-06,42,47,,,,,,,,,,
882,883, OKLAHOMA STATE REFORMATORY,,,OK,SECURUS,,2021-01-09T01:08:47.009Z,,,OKLAHOMA DEPARTMENT OF CORRECTIONS,"3400 N Martin Luther King Ave, Oklahoma City, OK 73111, United States",-97.475308,35.5030298,Oklahoma County,ChIJG4FXQ68QsocRI61HhGEP_ok,OK,6361,6362,10003576,KATE BARNARD CORRECTIONAL CENTER,3300 MARTIN LUTHER KING AVE,OKLAHOMA CITY,OK,73111,-999,(405) 425-2900,STATE,OPEN,239,OKLAHOMA,40109,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/weekly-count,2018-01-02,IMAGERY/OTHER,2020-01-21,http://doc.ok.gov/state-institutions,MINIMUM,250,0.00606900499296,735.8430405868882,1.901025626e-06,42,41,,,,,,,,,,
874,875, LAWTON COMMUNITY CORRECTIONS CENTER,,,OK,SECURUS,,2021-01-09T01:07:15.603Z,,,LAWTON COMMUNITY CORRECTIONS,"605 SW Coombs Rd, Lawton, OK 73501, United States",-98.3964258,34.5655578,Comanche County,ChIJXyP3fgIirYcRtXve4gv7aIc,OK,6357,6358,10003590,LAWTON COMMUNITY CORRECTIONS CENTER,605 SW COOMBS RD,LAWTON,OK,73501,8294,(580) 248-6703,STATE,OPEN,149,COMANCHE,40031,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/weekly-count,2018-01-02,IMAGERY/OTHER,2020-01-21,http://doc.ok.gov/state-institutions,MINIMUM,153,0.00416115010914,523.73397865261,9.38415505e-07,100,100,,,,,,,,,,
876,877, MABEL BASSETT CORRECTIONAL CENTER,,,OK,SECURUS,,2021-01-09T01:07:35.811Z,,,MABEL BASSETT CORRECTIONAL CENTER,"29501 Kickapoo Rd, McLoud, OK 74851, United States",-97.1312266,35.44485969999999,Pottawatomie County,ChIJCWbJz30zsocR4yPZfEQaV5U,OK,1722,1723,10003580,MABEL BASSETT CORRECTIONAL CENTER,29501 KICKAPOO RD,MCLOUD,OK,74851,8339,(405) 964-3020,STATE,OPEN,1271,POTTAWATOMIE,40125,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/weekly-count,2018-01-02,IMAGERY/OTHER,2020-01-21,http://doc.ok.gov/state-institutions,MAXIMUM,1275,0.0112958879481,1421.463005903096,8.52444576e-06,100,100,,,,,,,,,,
877,878, MACK ALFORD CORRECTIONAL CENTER,,,OK,SECURUS,,2021-01-09T01:07:51.142Z,,,MACK ALFORD CORRECTIONAL CENTER,"13001 North, US-69, Atoka, OK 74525, United States",-96.0351418,34.5253752,Atoka County,ChIJvyUSk8bJtIcRDIqWyklTUwQ,OK,1580,1581,10003592,MACK ALFORD CORRECTIONAL CENTER,13001 NORTH HWY 69,ATOKA,OK,74525,-999,(580) 346-7301,STATE,OPEN,777,ATOKA,40005,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/weekly-count,2018-01-02,IMAGERY/OTHER,2020-01-21,http://doc.ok.gov/state-institutions,MEDIUM,760,0.0160043078849,1973.5523128812745,1.2309064757e-05,100,100,,,,,,,,,,
878,879, NORTH FORK CORRECTIONAL CENTER,,,OK,SECURUS,,2021-01-09T01:08:02.376Z,,,NORTH FORK CORRECTIONAL CENTER,"1605 E Main St, Sayre, OK 73662, United States",-99.6130676,35.2926902,Beckham County,ChIJlyQwXHPEq4cR6YLqcgGy2n8,OK,6360,6361,10001730,NORTH FORK CORRECTIONAL CENTER,1605 EAST MAIN ST,SAYRE,OK,73662,-999,(580) 928-8000,STATE,OPEN,2437,BECKHAM,40009,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/weekly-count,2018-01-02,IMAGERY/OTHER,2020-01-21,http://doc.ok.gov/state-institutions,MEDIUM,2520,0.0134595593308,1616.0218418808772,1.1616487863e-05,100,100,,,,,,,,,,
879,880, NORTHEAST OKLAHOMA CORRECTIONAL CENTER,,,OK,SECURUS,,2021-01-09T01:08:12.669Z,,,NORTHEAST OK CORRECTIONAL CENTER,"442606 E 250 Rd, Vinita, OK 74301, United States",-95.1139117,36.6560219,Craig County,ChIJTRBe123Xt4cRY_nVvJMpKE0,OK,6358,6359,10003566,NORTHEAST OKLAHOMA CORRECTIONAL CENTER,442586 E 250 RD,VINITA,OK,74301,-999,(918) 256-3392,STATE,OPEN,514,CRAIG,40035,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/weekly-count,2018-01-02,IMAGERY/OTHER,2020-01-21,http://doc.ok.gov/state-institutions,MINIMUM,517,0.0344199377563,4306.73867498925,2.6353610994e-05,95,100,,,,,,,,,,
884,885, WILLIAM S KEY CORRECTIONAL CENTER,,,OK,SECURUS,,2021-01-09T01:09:11.411Z,,,W S KEY CORRECTIONAL CENTER,"1 William S Key Blvd , Fort Supply, OK 73841, Fort Supply, OK 73841, United States",-99.5557246,36.57170410000001,Woodward County,ChIJu6YDo1KVqIcR3Fdhx4ZmGdc,OK,6363,6364,10003569,WILLIAM S KEY CORRECTIONAL CENTER,ONE WILLIAM S KEY BLVD,FORT SUPPLY,OK,73841,9718,(580) 766-2224,STATE,OPEN,1065,WOODWARD,40153,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/weekly-count,2018-01-02,IMAGERY/OTHER,2020-01-21,http://doc.ok.gov/state-institutions,MINIMUM,1072,0.0261507387519,3151.531576620538,2.1716605695e-05,96,100,,,,,,,,,,
885,886,TEXAS COUNTY JAIL,,,OK,SECURUS,,2021-01-09T01:09:20.320Z,,,TEXAS COUNTY JAIL,"1102 S Ellison St, Guymon, OK 73942, United States",-101.480632,36.6686847,Texas County,ChIJNY_DfdgoBocRRxTLwW9E1d4,OK,3263,3264,10006010,TEXAS COUNTY JAIL,1102 S ELLISON,GUYMON,OK,73942,-999,(580) 338-4000,COUNTY,OPEN,-999,TEXAS,40139,USA,922140,CORRECTIONAL INSTITUTIONS,https://texas.okcounties.org/offices/county-sheriff,2018-04-16,IMAGERY/OTHER,2020-01-21,NOT AVAILABLE,NOT AVAILABLE,-999,0.00285313458478,351.69546505973227,4.38745553e-07,100,100,,,,,,,,,,
886,887,WAGONER COUNTY JAIL,,,OK,SECURUS,,2021-01-09T01:09:34.185Z,,,WAGONER COUNTY SHERIFF,"Wagoner county court House, 307 E Cherokee St, Wagoner, OK 74467, United States",-95.3741434,35.9599713,Wagoner County,ChIJ9dEyFV0NtocRZaUB2SuS8Uo,OK,3264,3265,10006022,WAGONER COUNTY JAIL,307 E CHEROKEE ST,WAGONER,OK,74467,4729,(918) 485-7730,COUNTY,OPEN,-999,WAGONER,40145,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ok.gov/wagonercounty/Elected_Officials/Sheriff/index.html,2018-04-16,IMAGERY/OTHER,2020-01-21,https://www.ok.gov/wagonercounty/Elected_Officials/Sheriff/index.html,NOT AVAILABLE,-999,0.00312567148824,368.823073063006,2.85981187e-07,85,100,,,,,,,,,,
887,888,CLATSOP COUNTY SHERIFF'S OFFICE,,,OR,SECURUS,,2021-01-09T01:09:42.880Z,,,CLATSOP COUNTY SHERIFF'S OFFICE,"1190 SE 19th St, Warrenton, OR 97146, United States",-123.9084785,46.1464837,Clatsop County,ChIJeaX4EEt7k1QRI_12OgAPSHk,OR,6439,6440,10005743,YOUNGS BAY YOUTH DETENTION CENTER,1250 SOUTHEAST 19TH STREET,WARRENTON,OR,97146,-999,NOT AVAILABLE,STATE,CLOSED,0,CLATSOP,41007,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.dailyastorian.com/article/20151104/ARTICLE/151109912,2015-11-06,IMAGERY/OTHER,2020-01-24,http://courts.oregon.gov/Clatsop/Services/pages/juv_court_services.aspx,JUVENILE,-999,0.00382896643344,500.49545118602424,4.88305923e-07,34,34,,,,,,,,,,
